Reference, Value, Footprint, Datasheet
"J10","OMEGA POWER SUPPLY","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J1","5V","My_Components:Conn_Power_Jack_Circular_Pads",""
"F3","1,5A","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"R1","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D2","5.6V","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"J2","5v audio","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J3","5v video","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J4","floppy","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"F1","1,5A","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"F2","1,5A","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"J5","FMPAC POWER SUPPLY","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J6","POWER","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"F5","100mA","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"F4","100mA","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"SW1","POWER SWITCH","MSXMakers:SWITCH_SPDT","~"
"F6","1,5A","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
